code,country,cluster,model,anchor,cosine,std,baseline
AT,Austria,Procedural - Judiciary,Machine-Translated BWE,Naïve,,,0
BA,Bosnia and Herzegovina,Procedural - Judiciary,Machine-Translated BWE,Naïve,0.67352027,0.032913867,0.67352027
BE,Belgium,Procedural - Judiciary,Machine-Translated BWE,Naïve,0.6159333,0.010692616,0.6159333
BG,Bulgaria,Procedural - Judiciary,Machine-Translated BWE,Naïve,0.62447006,0.026725387,0.62447006
CZ,Czech Republic,Procedural - Judiciary,Machine-Translated BWE,Naïve,0.5461618,0.018517384,0.5461618
DK,Denmark,Procedural - Judiciary,Machine-Translated BWE,Naïve,0.3476614,0.02263796,0.3476614
EE,Estonia,Procedural - Judiciary,Machine-Translated BWE,Naïve,0.56527406,0.01580927,0.56527406
ES,Spain,Procedural - Judiciary,Machine-Translated BWE,Naïve,0.6570031,0.026620727,0.6570031
FI,Finland,Procedural - Judiciary,Machine-Translated BWE,Naïve,0.55443275,0.014454455,0.55443275
FR,France,Procedural - Judiciary,Machine-Translated BWE,Naïve,0.49639156,0.019550977,0.49639156
GB,Great Britain,Procedural - Judiciary,Machine-Translated BWE,Naïve,0.6876312,0.011294518,0.6876312
GR,Greece,Procedural - Judiciary,Machine-Translated BWE,Naïve,0.58731884,0.012789757,0.58731884
HR,Croatia,Procedural - Judiciary,Machine-Translated BWE,Naïve,0.60622394,0.019973151,0.60622394
HU,Hungary,Procedural - Judiciary,Machine-Translated BWE,Naïve,0.64248407,0.020157704,0.64248407
IS,Iceland,Procedural - Judiciary,Machine-Translated BWE,Naïve,,,0
IT,Italy,Procedural - Judiciary,Machine-Translated BWE,Naïve,0.61394036,0.03561761,0.61394036
LV,Latvia,Procedural - Judiciary,Machine-Translated BWE,Naïve,0.62870616,0.019132465,0.62870616
NL,Netherlands,Procedural - Judiciary,Machine-Translated BWE,Naïve,0.5493396,0.011731165,0.5493396
NO,Norway,Procedural - Judiciary,Machine-Translated BWE,Naïve,0.48663288,0.01607513,0.48663288
PL,Poland,Procedural - Judiciary,Machine-Translated BWE,Naïve,0.5041702,0.02089589,0.5041702
PT,Portugal,Procedural - Judiciary,Machine-Translated BWE,Naïve,0.53355336,0.017877955,0.53355336
RS,Serbia,Procedural - Judiciary,Machine-Translated BWE,Naïve,0.68323934,0.013593687,0.68323934
SE,Sweden,Procedural - Judiciary,Machine-Translated BWE,Naïve,0.5626519,0.012267291,0.5626519
SI,Slovenia,Procedural - Judiciary,Machine-Translated BWE,Naïve,0.55307734,0.01653249,0.55307734
TR,Turkey,Procedural - Judiciary,Machine-Translated BWE,Naïve,0.74078125,0.014884171,0.74078125
UA,Ukraine,Procedural - Judiciary,Machine-Translated BWE,Naïve,0.6130763,0.019704234,0.6130763
AT,Austria,Procedural - Rules,Machine-Translated BWE,Naïve,0.5726337,0.023399785,0.5726337
BA,Bosnia and Herzegovina,Procedural - Rules,Machine-Translated BWE,Naïve,0.7194448,0.044254176,0.7194448
BE,Belgium,Procedural - Rules,Machine-Translated BWE,Naïve,0.5255762,0.019844491,0.5255762
BG,Bulgaria,Procedural - Rules,Machine-Translated BWE,Naïve,0.6049503,0.022208741,0.6049503
CZ,Czech Republic,Procedural - Rules,Machine-Translated BWE,Naïve,0.58855134,0.023863392,0.58855134
DK,Denmark,Procedural - Rules,Machine-Translated BWE,Naïve,0.46541855,0.021519052,0.46541855
EE,Estonia,Procedural - Rules,Machine-Translated BWE,Naïve,0.5831827,0.022660611,0.5831827
ES,Spain,Procedural - Rules,Machine-Translated BWE,Naïve,0.5328835,0.0234512,0.5328835
FI,Finland,Procedural - Rules,Machine-Translated BWE,Naïve,0.60203445,0.023885438,0.60203445
FR,France,Procedural - Rules,Machine-Translated BWE,Naïve,0.52101094,0.021910388,0.52101094
GB,Great Britain,Procedural - Rules,Machine-Translated BWE,Naïve,0.45827922,0.009829398,0.45827922
GR,Greece,Procedural - Rules,Machine-Translated BWE,Naïve,0.5830616,0.018452775,0.5830616
HR,Croatia,Procedural - Rules,Machine-Translated BWE,Naïve,0.57800287,0.014396789,0.57800287
HU,Hungary,Procedural - Rules,Machine-Translated BWE,Naïve,0.5383137,0.018521387,0.5383137
IS,Iceland,Procedural - Rules,Machine-Translated BWE,Naïve,0.7753061,0.057401687,0.7753061
IT,Italy,Procedural - Rules,Machine-Translated BWE,Naïve,0.61616474,0.041303385,0.61616474
LV,Latvia,Procedural - Rules,Machine-Translated BWE,Naïve,0.60191524,0.027106466,0.60191524
NL,Netherlands,Procedural - Rules,Machine-Translated BWE,Naïve,0.4600886,0.015884249,0.4600886
NO,Norway,Procedural - Rules,Machine-Translated BWE,Naïve,0.55786854,0.030893162,0.55786854
PL,Poland,Procedural - Rules,Machine-Translated BWE,Naïve,0.45535985,0.017920522,0.45535985
PT,Portugal,Procedural - Rules,Machine-Translated BWE,Naïve,0.56046677,0.032869954,0.56046677
RS,Serbia,Procedural - Rules,Machine-Translated BWE,Naïve,0.5929314,0.01723752,0.5929314
SE,Sweden,Procedural - Rules,Machine-Translated BWE,Naïve,0.54582345,0.019894069,0.54582345
SI,Slovenia,Procedural - Rules,Machine-Translated BWE,Naïve,0.54913336,0.010358654,0.54913336
TR,Turkey,Procedural - Rules,Machine-Translated BWE,Naïve,0.5976642,0.012199029,0.5976642
UA,Ukraine,Procedural - Rules,Machine-Translated BWE,Naïve,0.64910716,0.023855003,0.64910716
AT,Austria,Substantive - Democracy,Machine-Translated BWE,Naïve,0.66072476,0.015531388,0.66072476
BA,Bosnia and Herzegovina,Substantive - Democracy,Machine-Translated BWE,Naïve,0.6966068,0.04122388,0.6966068
BE,Belgium,Substantive - Democracy,Machine-Translated BWE,Naïve,0.7190315,0.012863474,0.7190315
BG,Bulgaria,Substantive - Democracy,Machine-Translated BWE,Naïve,0.70839876,0.014595555,0.70839876
CZ,Czech Republic,Substantive - Democracy,Machine-Translated BWE,Naïve,0.5773162,0.01915917,0.5773162
DK,Denmark,Substantive - Democracy,Machine-Translated BWE,Naïve,0.4967565,0.019589137,0.4967565
EE,Estonia,Substantive - Democracy,Machine-Translated BWE,Naïve,0.65778744,0.014865805,0.65778744
ES,Spain,Substantive - Democracy,Machine-Translated BWE,Naïve,0.68304706,0.01395405,0.68304706
FI,Finland,Substantive - Democracy,Machine-Translated BWE,Naïve,0.7170428,0.022612527,0.7170428
FR,France,Substantive - Democracy,Machine-Translated BWE,Naïve,0.5876699,0.016028747,0.5876699
GB,Great Britain,Substantive - Democracy,Machine-Translated BWE,Naïve,0.64292604,0.009973899,0.64292604
GR,Greece,Substantive - Democracy,Machine-Translated BWE,Naïve,0.5519573,0.017774953,0.5519573
HR,Croatia,Substantive - Democracy,Machine-Translated BWE,Naïve,0.6050281,0.016173188,0.6050281
HU,Hungary,Substantive - Democracy,Machine-Translated BWE,Naïve,0.67961514,0.010696389,0.67961514
IS,Iceland,Substantive - Democracy,Machine-Translated BWE,Naïve,0.3638903,0.031682245,0.3638903
IT,Italy,Substantive - Democracy,Machine-Translated BWE,Naïve,0.6493799,0.019426413,0.6493799
LV,Latvia,Substantive - Democracy,Machine-Translated BWE,Naïve,0.7469676,0.025831956,0.7469676
