Country Code;WJP Rule of Law Index: Overall Score;Factor 1: Constraints on Government Powers;Factor 2: Absence of Corruption;Factor 3: Open Government ;Factor 4: Fundamental Rights;Factor 5: Order and Security;Factor 6: Regulatory Enforcement;Factor 7: Civil Justice;Factor 8: Criminal Justice
AFG;0,32;0,37;0,30;0,35;0,28;0,30;0,35;0,33;0,25
ALB;0,48;0,43;0,36;0,47;0,57;0,78;0,43;0,45;0,38
DZA;0,49;0,47;0,45;0,36;0,43;0,75;0,49;0,55;0,41
AGO;0,43;0,41;0,44;0,39;0,37;0,57;0,43;0,44;0,35
ATG;0,63;0,61;0,62;0,52;0,71;0,79;0,62;0,68;0,53
ARG;0,55;0,56;0,46;0,61;0,69;0,61;0,49;0,55;0,39
AUS;0,80;0,82;0,81;0,81;0,78;0,87;0,82;0,75;0,73
AUT;0,80;0,84;0,80;0,70;0,84;0,91;0,80;0,74;0,79
BHS;0,59;0,59;0,64;0,48;0,64;0,73;0,51;0,57;0,58
BGD;0,38;0,37;0,33;0,40;0,29;0,63;0,38;0,36;0,30
BRB;0,66;0,64;0,70;0,55;0,73;0,80;0,62;0,63;0,58
BLR;0,45;0,26;0,49;0,31;0,36;0,81;0,44;0,56;0,39
BEL;0,78;0,82;0,79;0,76;0,84;0,82;0,79;0,74;0,71
BLZ;0,49;0,48;0,45;0,44;0,52;0,71;0,41;0,52;0,39
BEN;0,48;0,50;0,40;0,38;0,52;0,74;0,48;0,43;0,43
BOL;0,37;0,36;0,25;0,44;0,44;0,59;0,39;0,31;0,21
BIH;0,51;0,45;0,42;0,47;0,58;0,77;0,49;0,46;0,47
BWA;0,59;0,61;0,57;0,47;0,59;0,72;0,58;0,61;0,59
BRA;0,49;0,51;0,43;0,59;0,49;0,60;0,48;0,49;0,32
BGR;0,56;0,51;0,45;0,57;0,61;0,78;0,53;0,54;0,44
BFA;0,47;0,53;0,43;0,48;0,53;0,43;0,46;0,45;0,48
KHM;0,31;0,26;0,23;0,24;0,33;0,66;0,26;0,25;0,26
CMR;0,35;0,37;0,24;0,33;0,36;0,48;0,40;0,40;0,24
CAN;0,80;0,82;0,83;0,80;0,81;0,90;0,81;0,69;0,73
CHL;0,66;0,71;0,69;0,70;0,72;0,67;0,64;0,62;0,54
CHN;0,47;0,31;0,53;0,40;0,25;0,81;0,49;0,52;0,43
COL;0,48;0,50;0,38;0,61;0,49;0,56;0,52;0,47;0,32
COD;0,34;0,40;0,17;0,34;0,41;0,45;0,34;0,36;0,28
COG;0,40;0,36;0,30;0,33;0,40;0,61;0,43;0,44;0,34
CRI;0,68;0,77;0,64;0,70;0,79;0,70;0,68;0,61;0,58
CIV;0,45;0,38;0,35;0,36;0,45;0,67;0,52;0,51;0,36
HRV;0,61;0,58;0,57;0,61;0,68;0,84;0,56;0,56;0,51
CYP;0,68;0,66;0,65;0,60;0,72;0,81;0,66;0,62;0,68
CZE;0,73;0,74;0,66;0,69;0,78;0,89;0,71;0,69;0,70
DNK;0,90;0,95;0,96;0,86;0,92;0,93;0,88;0,86;0,83
DMA;0,58;0,52;0,60;0,49;0,62;0,73;0,53;0,57;0,56
DOM;0,49;0,51;0,39;0,55;0,58;0,64;0,42;0,43;0,38
ECU;0,47;0,49;0,38;0,52;0,53;0,59;0,47;0,46;0,33
EGY;0,35;0,24;0,38;0,23;0,24;0,62;0,36;0,38;0,33
SLV;0,45;0,41;0,35;0,47;0,46;0,66;0,48;0,49;0,25
EST;0,82;0,83;0,81;0,81;0,83;0,90;0,81;0,81;0,75
